codigo,herramienta,stream,title,description,creator,keywords,actualizacion,publicado,developer,notas,url-tablero,url-portada
1,Qlik Sense,Servicio al Cliente - Operativo,Interacciones de Altas y Bajas,"Dashboard donde se muestran los motivos de llamadas de los clientes de Alta y Baja, adicionando indicadores de gestión como son su TNPS, NPS, TMG.",Alan Medina,"SOT, Mantenimiento, Tipificación",Diario - 2:00 pm,16/02/2023,Nildo Huachaca Rodriguez,Ver,Sin URL por cambios de tecnología de tableros,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
2,Qlik Sense,Servicio al Cliente - Operativo,Interacciones de Clientes Únicos,"Dashboard que nos permite conocer la cantidad de interacciones por clientes únicos en todas sus segmentaciones, adicionando el parque de clientes y llamadas de campaña asociada",Alan Medina,"Cliente, Tipificación",Diario - 12:15 pm,21/02/2024,Nildo Huachaca Rodriguez,Ver,Sin URL por cambios de tecnología de tableros,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
3,Power BI,Servicio al Cliente - Operativo,Notas Crédito Observadas,El reporte muestra el detalle de las notas de créditos observadas por escenario desde hace 1 año hasta el día de hoy.,Alan Medina,"Nota, Nota De Crédito",En Línea,30/12/2022,Gabriel Alberto Mayuri Cordero,Ver,https://app.powerbi.com/groups/b7653fa6-b31d-4e8b-862a-b94c53064604/reports/f5333ad6-de0c-4a7f-82cc-567a049c2335?experience=power-bi,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
4,Power BI,Servicio al Cliente - Operativo,Notas de Crédito,"El reporte muestra las Notas de Créditos generadas de la operación, para que con la revisión y analisis diario puedan ir tomando acciones para la reducción de ajustes. Los indicadores son: ratio de notas de crédito vs Llamadas atendidas, cantidad de notas de crédito por Día, niveles de aprobación, Ranking de notas de crédito por asesor, evolución mensual, evolución diaria, ranking de motivos y sub motivos de imputación. Variables: Q de notas de créditos, montos por NC, Campañas, Interacciones.",Alan Medina,Nota De Crédito,Diaria 3 PM,30/12/2022,Gabriel Alberto Mayuri Cordero,Ver,https://app.powerbi.com/groups/me/reports/b91f88c2-0856-47b7-8bd3-548f8506ae2f/ReportSection4c6fbe76e690bc0e48a2?experience=power-bi,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
5,Power BI,Servicio al Cliente - Operativo,OCC's,"El reporte muestra todas las Occ ingresadas por mes con la fecha de aplicación a futuro, la participación por Dirección, Área y Operación. El reporte contiene la cantidad y el total por mes. Total por servicio y concepto de Occ.",Alan Medina,"Nota, OCC",Diaria 12:30 PM,30/12/2022,Gabriel Alberto Mayuri Cordero,Ver,https://app.powerbi.com/groups/me/reports/2493a006-fac0-410c-b427-b0000eb3e8dd/ReportSection?experience=power-bi,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
6,Qlik Sense,Servicio al Cliente - Operativo,Planificación - Canal Telefónico,Muestra la planificación de llamadas de Call Center de las diferentes campañas del canal telefónico.,Alan Medina,"Franja, Socio Comercial","Diario - 12:00 pm, 1:00 pm y 3:00 pm",27/02/2023,Christian Andre Galindo Rios,,Sin URL por cambios de tecnología de tableros,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
7,Power BI,Servicio al Cliente - Operativo,Recargas Manuales Prepago y Postpago,"El reporte de Recargas muestra todas las recargas prepago y postpago que se han ejecutado manualmente que han brindado soles como fidelización para pruebas operativas de la líneas prepago, en el caso de postpago hace referencia a las recargas generadas para los clientes corporativos y para los débitos generados de los pavgos errados.",Alan Medina,Recarga,Diaria 12:00 PM,30/12/2022,Nildo Huachaca Rodriguez,Ver,https://app.powerbi.com/groups/me/reports/be265b04-24df-4652-97b6-128ccfa69d9e/ReportSection?experience=power-bi,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
8,Power BI,Servicio al Cliente - Operativo,Reclamos y SAR,El reporte muestra los indicadores de Reclamos y Sar (Solución Anticipada al Reclamo) generadas por la Dirección de Servicio al Cliente,Alan Medina,,En Línea,30/12/2022,Nildo Huachaca Rodriguez,Ver,https://app.powerbi.com/groups/me/reports/86e4face-acc0-453c-b0b2-fd1cef1da6b8/ReportSection45db02f66c80db08a2e9?experience=power-bi,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
9,Power BI,Servicio al Cliente - Operativo,Reconexiones y Casos OAC,"Muestra las reconexiones del aplicativo OAC, muestra la recurrencia de reconexiones por línea y servicios fijos. Muestra la cabtidad de casos generados en SIAC que cuentan con una reconexión oac como lo indica el proceso. Además que valida la dilación de tiempo entre la generación de un caso y el tiempo que demora en ejecutar la reconexión por el oac.",Alan Medina,,Diaria 12 PM,30/12/2022,Nildo Huachaca Rodriguez,Ver,https://app.powerbi.com/groups/b7653fa6-b31d-4e8b-862a-b94c53064604/reports/35d4cfab-538f-4e2a-b82f-cfdbd9d7997f?experience=power-bi,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
10,Power BI,Servicio al Cliente - Operativo,Reincidencia de Casos,El reporte de Recurrencia de Casos informa que transacciones se están volviendo a generar al mismo cliente por la misma sub clase dentro de un mismo periodo.,Alan Medina,,Diaria 12:00 PM,30/12/2022,Nildo Huachaca Rodriguez,Ver,https://app.powerbi.com/groups/b7653fa6-b31d-4e8b-862a-b94c53064604/reports/4cfe2a60-ba2f-416f-a879-8b4049f660b5?experience=power-bi,https://www.claro.com.pe/assets/havas/landing-tips/assets/steps/step0.png
